complete_address,address,label,building,house_details,locality,pincode,city,state
"86/42, Dixit Marg, Above Shop, Guwahati, Assam - 937779","86/42, Dixit Marg, Above Shop, Guwahati, Assam - 937779",0,,86/42,Guwahati,937779,Assam,
"H.No. 268 Bera Circle, Near Park, Thiruvananthapuram, Kerala - 730800","H.No. 268 Bera Circle, Near Park, Thiruvananthapuram, Kerala - 730800",0,,H.No. 268,Thiruvananthapuram,700080,Kerala,
"47 Gokhale Ganj, Near Park, Jamshedpur, Jharkhand - 691956","47 Gokhale Ganj, Near Park, Jamshedpur, Jharkhand - 691956",0,,47,Jamshedpur,691356,Jharkhand,
"44/44, Chawla Zila, Near Park, Chandigarh, Chandigarh - 230322","44/44, Chawla Zila, Near Park, Chandigarh, Chandigarh - 230322",0,,44/44,Chawla Zila,210322,Chandigarh,
"H.No. 44 Misra, Behind School, Raipur, Chhattisgarh - 243703","H.No. 44 Misra, Behind School, Raipur, Chhattisgarh - 243703",0,,H.No. 44,Raipur,243703,Chhattisgarh,
"228 Gade Circle, Behind School, Surat, Gujarat - 014919","228 Gade Circle, Behind School, Surat, Gujarat - 014919",0,,228,,394019,Surat,Gujarat
"805 Suri, Opposite Mall, Pune, Maharashtra - 152043","805 Suri, Mall, Pune,",1,,805 Suri,Mall,411037,Pune,
"09/567 Balakrishnan Street, Opposite Mall, Meerut, Uttar Pradesh - 378326","09/567 Balakrishnan Street, Opposite Mall, Meerut, Uttar Pradesh - 378326",0,,09/567,Meerut,201306,Uttar Pradesh,
"017 Bhalla Ganj, Behind School, Vijayawada, Andhra Pradesh - 038970","017 Bhalla Ganj, Behind School, Vijayawada, Andhra Pradesh - 038970",0,,017,Bhalla Ganj,380970,Vijayawada,Andhra Pradesh
"H.No. 39 Lad Circle, Behind School, Coimbatore, Tamil Nadu - 142986","H.No. 39 Lad Circle, Behind School, Coimbatore, Tamil Nadu - 142986",0,,H.No. 39,Coimbatore,600012,Tamil Nadu,
"89/22 Bhandari Nagar, Near Park, Ahmedabad, Gujarat - 985528","89/22 Bhandari Nagar, Near Park, Ahmedabad, Gujarat - 985528",0,,89/22,Bhandari Nagar,380008,Ahmedabad,Gujarat
"26/91 Gandhi Marg, Behind School, Vijayawada, Andhra Pradesh - 789563","26/91 Gandhi Marg, Behind School, Vijayawada, Andhra Pradesh - 789563",0,,26/91,Vijayawada,789563,Andhra Pradesh,
"577 Narasimhan Street, Above Shop, Bangalore, Karnataka - 967268","577 Narasimhan Street, Above Shop, Bangalore, Karnataka - 967268",0,,577,,560067,Bangalore,Karnataka
"H.No. 418, Dube, Behind School, Surat, Gujarat - 452482","H.No. 418, Dube, Behind 452482",1,,H.No. 418,Dube,122482,,
"H.No. 496, Kade Marg, Near Park, Raipur, Chhattisgarh - 332426","H.No. 496, Kade Marg, Near Park, Raipur, Chhattisgarh - 332426",0,,H.No. 496,Raipur,421302,Chhattisgarh,
"H.No. 000 Gola Ganj, Opposite Mall, Aurangabad, Maharashtra - 352240","H.No. 000 Gola Ganj, Opposite Mall, Aurangabad, Maharashtra - 352240",0,,H.No. 000,Aurangabad,412204,,Maharashtra
"39/529, Kannan Nagar, Near Park, Thiruvananthapuram, Kerala - 337615","Kannan Nagar, Near Kerala 337615",1,,,Kannan Nagar,700161,Near Kerala,
"H.No. 931, Sachar Ganj, Above Shop, Ludhiana, Punjab - 378381","H.No. 931, Sachar Ganj, Above Shop, Ludhiana, Punjab - 378381",0,,H.No. 931,Sachar Ganj,382381,Ludhiana,Punjab
"H.No. 311 Wable Street, Above Shop, Lucknow, Uttar Pradesh - 215831","H.No. 311 Wable Street, Above Shop, Lucknow, Uttar Pradesh - 215831",0,,H.No. 311,Lucknow,201318,Uttar Pradesh,
"H.No. 15, Devi Zila, Opposite Mall, Indore, Madhya Pradesh - 225966","H.No. 15, Devi Zila, Opposite Mall, Indore, Madhya Pradesh - 225966",0,,H.No. 15,Devi Zila,421306,Indore,Madhya Pradesh
"52/12 Sachar Path, Above Shop, Nagpur, Maharashtra - 946292","52/12 Sachar Path, Above Shop, Nagpur, Maharashtra - 946292",0,,52/12,Nagpur,946292,Maharashtra,
"H.No. 84 Kar Road, Opposite Mall, Bangalore, Karnataka - 577792","H.No. 84 Kar Road, Opposite Mall, Bangalore, Karnataka - 577792",0,,H.No. 84,,577792,Bangalore,Karnataka
"25, Grover Marg, Near Park, Mumbai, Maharashtra - 080007","25, Grover Marg, Near Park, Mumbai, Maharashtra - 080007",0,,25,,400007,Mumbai,Maharashtra
"51, Mukherjee Road, Opposite Mall, Bangalore, Karnataka - 222669","51, Mukherjee Road, Opposite Mall, Bangalore, Karnataka - 222669",0,,51,,560069,Bangalore,Karnataka
"68/559, Bava, Opposite Mall, Surat, Gujarat - 958267","68/559, Bava, Opposite Mall, Surat, Gujarat - 958267",0,,68/559,,395007,Surat,Gujarat
"86/90 Magar Path, Opposite Mall, Ahmedabad, Gujarat - 217612","86/90 Magar Path, Opposite Mall, Ahmedabad, Gujarat - 217612",0,,86/90,,382161,Ahmedabad,Gujarat
"H.No. 32 Basu Road, Above Shop, Lucknow, Uttar Pradesh - 905403","H.No. 32 Basu Road, Above Shop, Lucknow, Uttar Pradesh - 905403",0,,H.No. 32,Lucknow,201403,Lucknow,Uttar Pradesh
"22 Suresh Path, Above Shop, Raipur, Chhattisgarh - 873598","22 Suresh Path, Above Shop, Raipur, Chhattisgarh - 873598",0,,22,Raipur,873598,Chhattisgarh,
"70 Deep Chowk, Near Park, Jaipur, Rajasthan - 704620","70 Deep Chowk, Near Park, Jaipur, Rajasthan - 704620",0,,,Jaipur,704120,Rajasthan,
"15, Prabhu Chowk, Opposite Mall, Vizag, Andhra Pradesh - 463804","15, Prabhu Chowk, Opposite Mall, Vizag, Andhra Pradesh - 463804",0,,15,Vizag,463804,Andhra Pradesh,
"453, Khosla, Opposite Mall, Kochi, Kerala - 813000","453, Khosla, Opposite Mall, Kochi, Kerala - 813000",0,,453,Khosla,813001,Kochi,Kerala
"47/10, Sen Road, Opposite Mall, Aurangabad, Maharashtra - 044713","Opposite Mall, Aurangabad, - 044713",1,,,Opposite Mall,044713,Aurangabad,
"074, Dhawan Chowk, Above Shop, Amritsar, Punjab - 504539","074, Dhawan Chowk, Above Shop, Amritsar, Punjab - 504539",0,,074,Amritsar,504539,Punjab,
"H.No. 15 Parmar Ganj, Behind School, Vijayawada, Andhra Pradesh - 185118","H.No. 15 Parmar Ganj, Behind School, Vijayawada, Andhra Pradesh - 185118",0,,H.No. 15,Parmar Ganj,501118,Vijayawada,Andhra Pradesh
"845, Madan Ganj, Behind School, Nashik, Maharashtra - 545257","845, Madan Ganj, Behind School, Nashik, Maharashtra - 545257",0,,845,Madan Ganj,421505,Nashik,Maharashtra
"61, Acharya Path, Near Park, Meerut, Uttar Pradesh - 607453","61, Acharya Path, Near Park, Meerut, Uttar Pradesh - 607453",0,,61,Meerut,201053,Uttar Pradesh,
"964 Kata Nagar, Above Shop, Shimla, Himachal Pradesh - 788673","964 Kata Nagar, Above Shop, Shimla, Himachal Pradesh - 788673",0,,964,Kata Nagar,122103,Shimla,Himachal Pradesh
"391 Bir Street, Above Shop, Coimbatore, Tamil Nadu - 488294","391 Bir Street, Above Shop, Coimbatore, Tamil Nadu - 488294",0,,391,Coimbatore,488294,Tamil Nadu,
"031 Narula Ganj, Near Park, Nagpur, Maharashtra - 652765","031 Narula Ganj, Near Park, Nagpur, Maharashtra - 652765",0,,031,Nagpur,421305,Maharashtra,
"974, Sibal Nagar, Above Shop, Hyderabad, Telangana - 298564","974, Sibal Nagar, Above Shop, Hyderabad, Telangana - 298564",0,,974,Sibal Nagar,500064,Hyderabad,Telangana
"H.No. 97, Dass, Near Park, Ludhiana, Punjab - 650750","97, Dass, Near - 650750",1,,97,,110050,,
"92/69, Shanker, Opposite Mall, Varanasi, Uttar Pradesh - 407339","92/69, Shanker, Opposite Mall, Varanasi, Uttar Pradesh - 407339",0,,92/69,Varanasi,201339,Uttar Pradesh,
"360 Dixit Street, Behind School, Aurangabad, Maharashtra - 708468","360 Dixit Street, Behind School, Aurangabad, Maharashtra - 708468",0,,360 Dixit Street,Aurangabad,410468,,Maharashtra
"30/44 Agarwal Nagar, Opposite Mall, Aurangabad, Maharashtra - 123338","30/44 Agarwal Nagar, Opposite Mall, Aurangabad, Maharashtra - 123338",0,,30/44,Aurangabad,123338,,Maharashtra
"H.No. 27 Goswami Chowk, Opposite Mall, Indore, Madhya Pradesh - 144445","H.No. 27 Goswami Chowk, Opposite Mall, Indore, Madhya Pradesh - 144445",0,,H.No. 27,Indore,144445,Madhya Pradesh,
"H.No. 808, Rau Circle, Behind School, Pune, Maharashtra - 565346","H.No. 808, Rau Circle, Behind School, Pune, Maharashtra - 565346",0,,H.No. 808,Pune,411346,Pune,Maharashtra
"42, Barad, Near Park, Pune, Maharashtra - 380548","42, Barad, Near Park, Pune, Maharashtra - 380548",0,,42,Pune,411048,Pune,Maharashtra
"H.No. 371 Rattan Road, Opposite Mall, Vizag, Andhra Pradesh - 936945",H.No. 371 Rattan Andhra Pradesh 936945,1,,H.No. 371,Rattan,936945,,Andhra Pradesh
"H.No. 46, Chaudhary, Near Park, Delhi, Delhi - 599758","H.No. 46, Chaudhary, Near Park, Delhi, Delhi - 599758",0,,H.No. 46,Chaudhary,110078,Delhi,Delhi
"43, Bhatti Path, Above Shop, Delhi, Delhi - 348396","Above Shop, Delhi - 348396",1,Above Shop,,,110396,Delhi,
"38/061 Doshi Marg, Above Shop, Kochi, Kerala - 416722","38/061 Doshi Marg, Above Shop, Kochi, Kerala - 416722",0,,38/061,Kochi,600022,Kanchipuram,Kerala
"22/72, Ramesh Road, Opposite Mall, Shimla, Himachal Pradesh - 463881","22/72, Ramesh Road, Opposite Mall, Shimla, Himachal Pradesh - 463881",0,,22/72,Shimla,463881,Himachal Pradesh,
"H.No. 98 Swamy Path, Above Shop, Bhubaneswar, Odisha - 418442","H.No. 98 Swamy Path, Above Shop, Bhubaneswar, Odisha - 418442",0,,H.No. 98,Bhubaneswar,411084,,Odisha
"H.No. 619 Ramaswamy Marg, Above Shop, Coimbatore, Tamil Nadu - 268532","H.No. 619 Ramaswamy Shop, Tamil 268532",1,,H.No. 619,Tamil 268532,600032,,
"96 Tank Marg, Above Shop, Nagpur, Maharashtra - 176385","96 Tank Marg, Above Shop, Nagpur, Maharashtra - 176385",0,,96,Nagpur,411003,Maharashtra,
"96/612 Vala Zila, Above Shop, Thiruvananthapuram, Kerala - 116168","Zila, Above Shop, Kerala 116168",1,,,Zila,562168,,KARNATAKA
"H.No. 43, Goel Nagar, Above Shop, Bhopal, Madhya Pradesh - 680571","H.No. 43, Goel Nagar, Above Shop, Bhopal, Madhya Pradesh - 680571",0,,H.No. 43,Goel Nagar,680571,Bhopal,Madhya Pradesh
"501, Chandra Nagar, Opposite Mall, Dehradun, Uttarakhand - 158926","501, Chandra Nagar, Opposite Mall, Dehradun, Uttarakhand - 158926",0,,501,Chandra Nagar,122926,Dehradun,Uttarakhand
"H.No. 96, Merchant Zila, Opposite Mall, Shimla, Himachal Pradesh - 263079","H.No. 96, Merchant Zila, Opposite Mall, Shimla, Himachal Pradesh - 263079",0,,H.No. 96,Merchant Zila,122079,Shimla,Himachal Pradesh
"056, Pal, Above Shop, Jaipur, Rajasthan - 522360","056, Pal, Above Shop, Jaipur, Rajasthan - 522360",0,,056,Pal,122260,Jaipur,Rajasthan
"H.No. 127 Mitter Street, Above Shop, Chennai, Tamil Nadu - 968219","127 Mitter Street, Tamil Nadu 968219",1,,127,,600219,,Tamil Nadu
"74/41, Parmar Zila, Above Shop, Ludhiana, Punjab - 406681","74/41, Parmar Zila, Above Shop, Ludhiana, Punjab - 406681",0,,74/41,Parmar Zila,406681,Ludhiana,Punjab
"H.No. 69, Seshadri Zila, Behind School, Dehradun, Uttarakhand - 582413","H.No. 69, Seshadri Zila, Behind School, Dehradun, Uttarakhand - 582413",0,,H.No. 69,Seshadri Zilla,582413,Dehradun,Uttarakhand
"H.No. 619, Purohit Street, Opposite Mall, Vijayawada, Andhra Pradesh - 071102","H.No. 619, Purohit Street, Opposite Mall, Vijayawada, Andhra Pradesh - 071102",0,,H.No. 619,Vijayawada,501102,Andhra Pradesh,
"H.No. 233, Virk Street, Above Shop, Nagpur, Maharashtra - 758610","H.No. 233, Virk Street, Above Shop, Nagpur, Maharashtra - 758610",0,,H.No. 233,Nagpur,758610,Maharashtra,
"02 Nori Marg, Behind School, Vijayawada, Andhra Pradesh - 659952",02 Behind Andhra Pradesh 659952,1,,02,Andhra Pradesh,659952,,
"30 Babu Nagar, Near Park, Jamshedpur, Jharkhand - 846882","30 Babu Nagar, Near Park, Jamshedpur, Jharkhand - 846882",0,,30,Jamshedpur,201002,Jharkhand,
"625 Pathak Zila, Opposite Mall, Kolkata, West Bengal - 668784","625 Pathak Zila, Opposite Mall, Kolkata, West Bengal - 668784",0,,625,,700084,Kolkata,West Bengal
"502 Ravel Road, Opposite Mall, Ahmedabad, Gujarat - 299317","502 Ravel Road, Opposite Mall, Ahmedabad, Gujarat - 299317",0,,502,,382331,Ahmedabad,Gujarat
"H.No. 037 Char Nagar, Behind School, Bangalore, Karnataka - 722424","H.No. 037 Char Nagar, Behind School, Bangalore, Karnataka - 722424",0,,H.No. 037,Char Nagar,562124,Bangalore,Karnataka
"13, Kant Circle, Near Park, Ahmedabad, Gujarat - 216934","13, Kant Circle, Near Park, Ahmedabad, Gujarat - 216934",0,,13,Ahmedabad,382340,Ahmedabad,Gujarat
"H.No. 263, Minhas Street, Near Park, Guwahati, Assam - 173894","H.No. 263, Minhas Street, Near Park, Guwahati, Assam - 173894",0,,H.No. 263,Guwahati,743174,Assam,
"48/17 Ramanathan, Opposite Mall, Jamshedpur, Jharkhand - 038042","48/17 Ramanathan, Opposite Mall, Jamshedpur, Jharkhand - 038042",0,,48/17,Jamshedpur,038042,Jharkhand,
"14/288 Murthy Circle, Near Park, Bhubaneswar, Odisha - 962791","14/288 Murthy Circle, Near Park, Bhubaneswar, Odisha - 962791",0,,14/288,Bhubaneswar,700091,Odisha,
"32/319 Sangha Street, Opposite Mall, Chandigarh, Chandigarh - 788370","32/319 Sangha Street, Opposite Mall, Chandigarh, Chandigarh - 788370",0,,32/319,Chandigarh,700370,Chandigarh,
"825 Sane Marg, Behind School, Kolkata, West Bengal - 322871","825 Sane Marg, Behind School, Kolkata, West Bengal - 322871",0,,825,,700271,Kolkata,West Bengal
"09/067 Ray Circle, Behind School, Ahmedabad, Gujarat - 478580","09/067 Ray Circle, Behind School, Ahmedabad, Gujarat - 478580",0,,09/067,,382580,Ahmedabad,Gujarat
"H.No. 48 Pai Nagar, Above Shop, Ahmedabad, Gujarat - 116146","H.No. 48 Pai Nagar, Above Shop, Ahmedabad, Gujarat - 116146",0,,H.No. 48,Pai Nagar,382146,Ahmedabad,Gujarat
"H.No. 834, Subramaniam Chowk, Above Shop, Lucknow, Uttar Pradesh - 480233","H.No. 834, Subramaniam Chowk, Above Shop, Lucknow, Uttar Pradesh - 480233",0,,H.No. 834,Lucknow,201033,Uttar Pradesh,
"217, Raman Zila, Behind School, Bangalore, Karnataka - 034035","217, Raman Zila, Behind School, Bangalore, Karnataka - 034035",0,,217,Raman Zilla,560043,Bangalore,Karnataka
"43/303 Sule Ganj, Opposite Mall, Ahmedabad, Gujarat - 524541","43/303 Sule Ganj, Opposite Mall, Ahmedabad, Gujarat - 524541",0,,43/303,,382415,Ahmedabad,Gujarat
"74 Oak Road, Opposite Mall, Dehradun, Uttarakhand - 339500","Oak Road, Opposite Mall, Uttarakhand",1,,,Uttarakhand,201301,,
"738 Devan, Opposite Mall, Chandigarh, Chandigarh - 860774","Devan, Opposite Chandigarh, Chandigarh",1,Devan,,Chandigarh,700150,Chandigarh,
"86/950 Kala, Behind School, Varanasi, Uttar Pradesh - 065574","86/950 Kala, Behind School, Varanasi, Uttar Pradesh - 065574",0,,86/950,Kala,201574,Varanasi,Uttar Pradesh
"30 Bahri Road, Near Park, Surat, Gujarat - 513363","30 Bahri Road, Near Park, Surat, Gujarat - 513363",0,,30,Surat,395003,Surat,Gujarat
"H.No. 234, Arora, Above Shop, Vijayawada, Andhra Pradesh - 093939","H.No. 234, Arora, Above Shop, Vijayawada, Andhra Pradesh - 093939",0,,H.No. 234,Vijayawada,093939,Andhra Pradesh,
"72 Ratta Zila, Behind School, Raipur, Chhattisgarh - 668144","72 Ratta Zila, Behind School, Raipur, Chhattisgarh - 668144",0,,,Raipur,668144,Chhattisgarh,
"H.No. 33 Dua Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 439352","H.No. 33 Dua Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 439352",0,,H.No. 33,Coimbatore,439352,Tamil Nadu,
"H.No. 142 Khanna Marg, Opposite Mall, Ludhiana, Punjab - 233950","H.No. 142 Khanna Marg, Opposite Mall, Ludhiana, Punjab - 233950",0,,H.No. 142,Ludhiana,123950,Punjab,
"50/72, Bedi Zila, Behind School, Varanasi, Uttar Pradesh - 497072","Bedi Behind School, Uttar -",1,,,Bedi Behind School,201003,,UTTAR PRADESH
"H.No. 613, Vasa Street, Above Shop, Shimla, Himachal Pradesh - 275361","H.No. 613, Vasa Street, Above Shop, Shimla, Himachal Pradesh - 275361",0,,H.No. 613,Shimla,122051,Himachal Pradesh,
"67/93, Korpal Zila, Opposite Mall, Chandigarh, Chandigarh - 682014","67/93, Korpal Zila, Opposite Mall, Chandigarh, Chandigarh - 682014",0,,67/93,Korpal Zila,700214,Chandigarh,
"768 Khurana Circle, Behind School, Nashik, Maharashtra - 767339","768 Khurana Circle, Behind School, Nashik, Maharashtra - 767339",0,,768,Nashik,767339,,Maharashtra
"H.No. 491 Varty Road, Near Park, Srinagar, Jammu & Kashmir - 045954","H.No. 491 Varty Road, Near Park, Srinagar, Jammu & Kashmir - 045954",0,,H.No. 491,Srinagar,454954,Jammu & Kashmir,
"38/706, Magar Marg, Behind School, Srinagar, Jammu & Kashmir - 859235","38/706, Magar Marg, Behind School, Srinagar, Jammu & Kashmir - 859235",0,,38/706,Srinagar,859235,Jammu & Kashmir,
"289 Bora Circle, Above Shop, Nashik, Maharashtra - 187485","289 Bora Circle, Above Shop, Nashik, Maharashtra - 187485",0,,289,Nashik,411043,Maharashtra,
"53/53 Sastry Path, Behind School, Bhubaneswar, Odisha - 338172","53/53 Sastry Path, Behind School, Bhubaneswar, Odisha - 338172",0,,53/53,Bhubaneswar,380172,Odisha,
"191 Dhaliwal, Opposite Mall, Shimla, Himachal Pradesh - 641724","191 Dhaliwal, Opposite Mall, Shimla, Himachal Pradesh - 641724",0,,191,Shimla,121004,Himachal Pradesh,
"H.No. 81 Cherian, Above Shop, Vizag, Andhra Pradesh - 070969","H.No. 81 Cherian, Above Shop, Vizag, Andhra Pradesh - 070969",0,,H.No. 81,Cherian,700069,Vizag,Andhra Pradesh
"H.No. 466 Chadha Zila, Opposite Mall, Surat, Gujarat - 204977","H.No. 466 Chadha Zila, Opposite Mall, Surat, Gujarat - 204977",0,,H.No. 466,Chadha Zilla,394247,Surat,Gujarat
"60/261, Sule Road, Above Shop, Ranchi, Jharkhand - 094531","Above Ranchi, Jharkhand - 094531",1,,,,094531,Ranchi,Jharkhand
"08/17, Sharaf Marg, Near Park, Varanasi, Uttar Pradesh - 129911","08/17, Sharaf Marg, Near Park, Varanasi, Uttar Pradesh - 129911",0,,08/17,Varanasi,221001,Uttar Pradesh,
"560, Chaudry Street, Opposite Mall, Pune, Maharashtra - 174235","560, Chaudry Street, Opposite Mall, Pune, Maharashtra - 174235",0,,560,,411034,Pune,Maharashtra
"02 Prakash Path, Behind School, Ahmedabad, Gujarat - 089226","02 School, Ahmedabad, Gujarat 089226",1,School,,,382026,Ahmedabad,Gujarat
"567 Bhagat Street, Opposite Mall, Ranchi, Jharkhand - 080504","567 Bhagat Street, Opposite Mall, Ranchi, Jharkhand - 080504",0,,567,Ranchi,210504,Jharkhand,
"94/501 Goswami, Near Park, Meerut, Uttar Pradesh - 656741","94/501 Goswami, Near Park, Meerut, Uttar Pradesh - 656741",0,,94/501,Goswami,201001,Meerut,Uttar Pradesh
"H.No. 11, Chadha Chowk, Near Park, Shimla, Himachal Pradesh - 420952","H.No. 11, Chadha Chowk, Near Park, Shimla, Himachal Pradesh - 420952",0,,H.No. 11,Shimla,421005,Himachal Pradesh,
"32/819, Kanda Road, Above Shop, Jaipur, Rajasthan - 283100","32/819, Kanda Road, Above Shop, Jaipur, Rajasthan - 283100",0,,32/819,Jaipur,382310,Rajasthan,
"H.No. 19 Kapur Ganj, Opposite Mall, Bhubaneswar, Odisha - 349385","H.No. Opposite Mall, Bhubaneswar, -",1,,,Bhubaneswar,700140,Opposite Mall,
"H.No. 473 Jha Road, Behind School, Thiruvananthapuram, Kerala - 618967","473 Behind School, - 618967",1,,473,,600067,,
"H.No. 92 Dewan Nagar, Behind School, Jamshedpur, Jharkhand - 997725","H.No. 92 Dewan Nagar, Behind School, Jamshedpur, Jharkhand - 997725",0,,H.No. 92,Dewan Nagar,997252,Jamshedpur,Jharkhand
"H.No. 04 Iyengar Zila, Behind School, Kochi, Kerala - 848501","H.No. 04 Iyengar Kochi, Kerala",1,,H.No. 04,Iyengar Kochi,600012,,Kerala
"447, Pant Ganj, Behind School, Patna, Bihar - 770434",Pant Behind Bihar - 770434,1,,,Pant,700434,Behind Bihar,
"H.No. 64, Chowdhury Marg, Near Park, Lucknow, Uttar Pradesh - 150767","H.No. 64, Chowdhury Marg, Near Park, Lucknow, Uttar Pradesh - 150767",0,,H.No. 64,Lucknow,201767,Uttar Pradesh,
"93/128 Banik, Opposite Mall, Vizag, Andhra Pradesh - 367723","93/128 Banik, Opposite Mall, Vizag, Andhra Pradesh - 367723",0,,93/128,Banik,367723,Vizag,Andhra Pradesh
"00/51 Tiwari Ganj, Behind School, Ludhiana, Punjab - 088661","00/51 Tiwari Ganj, Behind School, Ludhiana, Punjab - 088661",0,,00/51,Ludhiana,088661,Punjab,
"15/490 Kant Circle, Opposite Mall, Ahmedabad, Gujarat - 227900","15/490 Kant Circle, Opposite Mall, Ahmedabad, Gujarat - 227900",0,,15/490,,382270,Ahmedabad,Gujarat
"14/26 Dora Nagar, Above Shop, Bangalore, Karnataka - 943164","14/26 Dora Shop, Bangalore, -",1,,14/26,,-,Bangalore,
"46/776, Dalal Road, Opposite Mall, Vizag, Andhra Pradesh - 280489","46/776, Dalal Road, Opposite Mall, Vizag, Andhra Pradesh - 280489",0,,46/776,Vizag,280489,Andhra Pradesh,
"98, Pall Nagar, Near Park, Chennai, Tamil Nadu - 861578","98, Pall Nagar, Near Park, Chennai, Tamil Nadu - 861578",0,,98,Pall Nagar,600078,Chennai,Tamil Nadu
"82/056, Tak Ganj, Near Park, Shimla, Himachal Pradesh - 688120","82/056, Tak Ganj, Near Park, Shimla, Himachal Pradesh - 688120",0,,82/056,Shimla,122120,Himachal Pradesh,
"36 Goyal Road, Near Park, Aurangabad, Maharashtra - 641914","36 Goyal Park, Aurangabad, 641914",1,Goyal Park,36,Aurangabad,421514,,
"H.No. 24 Deep Path, Opposite Mall, Guwahati, Assam - 655185","H.No. 24 Deep Path, Opposite Mall, Guwahati, Assam - 655185",0,,H.No. 24,Guwahati,655185,Assam,
"H.No. 076, Kaul Path, Behind School, Meerut, Uttar Pradesh - 258219","H.No. 076, Kaul Path, Behind School, Meerut, Uttar Pradesh - 258219",0,,H.No. 076,Meerut,201219,Uttar Pradesh,
"25/93, Pau Nagar, Near Park, Hyderabad, Telangana - 272348","Nagar, Near Hyderabad, - 272348",1,,,Nagar,272348,Near Hyderabad,
"447 Venkatesh Nagar, Opposite Mall, Surat, Gujarat - 192516","447 Venkatesh Nagar, Opposite Mall, Surat, Gujarat - 192516",0,,447,Venkatesh Nagar,394216,Surat,Gujarat
"H.No. 69 Batta Street, Opposite Mall, Varanasi, Uttar Pradesh - 738848","H.No. 69 Batta Street, Opposite Mall, Varanasi, Uttar Pradesh - 738848",0,,H.No. 69,Varanasi,201008,Uttar Pradesh,
"027, Majumdar Circle, Behind School, Lucknow, Uttar Pradesh - 075059","Majumdar Lucknow, Uttar Pradesh 075059",1,,,,201059,Majumdar Lucknow,Uttar Pradesh
"331 Chada Road, Above Shop, Ludhiana, Punjab - 794960","331 Chada Road, Above Shop, Ludhiana, Punjab - 794960",0,,331,Ludhiana,394960,Punjab,
"25, Madan Zila, Behind School, Kochi, Kerala - 123804","25, Madan Zila, Behind School, Kochi, Kerala - 123804",0,,25,Madan Zila,123804,Kochi,Kerala
"56/78, Sane Ganj, Near Park, Meerut, Uttar Pradesh - 664860","56/78, Sane Ganj, Near Park, Meerut, Uttar Pradesh - 664860",0,,56/78,Meerut,201003,Uttar Pradesh,
"H.No. 01 Krish Street, Opposite Mall, Ludhiana, Punjab - 837359","H.No. 01 Krish Street, Opposite Mall, Ludhiana, Punjab - 837359",0,,H.No. 01,Ludhiana,837359,Punjab,
"H.No. 46, Majumdar Chowk, Opposite Mall, Vijayawada, Andhra Pradesh - 389390","Chowk, Opposite Mall, Vijayawada, Andhra -",1,,,Vijayawada,500043,,Andhra
"H.No. 12 Lanka Nagar, Near Park, Srinagar, Jammu & Kashmir - 899289","Nagar, Park, & Kashmir - 899289",1,,,Nagar,899289,Park & Kashmir,
"61/630, Natt, Above Shop, Bhopal, Madhya Pradesh - 619833","61/630, Natt, Above Shop, Bhopal, Madhya Pradesh - 619833",0,,61/630,Natt,619833,Bhopal,Madhya Pradesh
"42/64 Pau Street, Behind School, Thiruvananthapuram, Kerala - 595225","42/64 Pau Street, Behind School, Thiruvananthapuram, Kerala - 595225",0,,42/64,Thiruvananthapuram,595225,Kerala,
"18/354, Lall Marg, Near Park, Mumbai, Maharashtra - 640555","18/354, Lall Marg, Near Park, Mumbai, Maharashtra - 640555",0,,18/354,,400055,Mumbai,Maharashtra
"16/80 Kaur Ganj, Opposite Mall, Aurangabad, Maharashtra - 383081","16/80 Kaur Ganj, Opposite Mall, Aurangabad, Maharashtra - 383081",0,,16/80,Aurangabad,383081,,Maharashtra
"164, Bath Nagar, Behind School, Raipur, Chhattisgarh - 728921","164, Bath Nagar, Behind School, Raipur, Chhattisgarh - 728921",0,,164,Bath Nagar,728921,Raipur,Chhattisgarh
"221, Buch Marg, Opposite Mall, Varanasi, Uttar Pradesh - 813685","221, Buch Marg, Opposite Mall, Varanasi, Uttar Pradesh - 813685",0,,221,Varanasi,201005,Uttar Pradesh,
"47/25, Kamdar Nagar, Above Shop, Agra, Uttar Pradesh - 751529","Nagar, Above Shop, - 751529",1,,,Nagar,751529,Above Shop,
"H.No. 83, Dhar Chowk, Near Park, Coimbatore, Tamil Nadu - 222026","H.No. Dhar Coimbatore, Tamil - 222026",1,,,Dhar,222006,Coimbatore,Tamil Nadu
"H.No. 404, Sani Street, Opposite Mall, Bhopal, Madhya Pradesh - 959271","H.No. 404, Sani Street, Opposite Mall, Bhopal, Madhya Pradesh - 959271",0,,H.No. 404,Bhopal,959271,Madhya Pradesh,
"87/75, Dugar Zila, Near Park, Indore, Madhya Pradesh - 772718","87/75, Dugar Zila, Near Park, Indore, Madhya Pradesh - 772718",0,,87/75,Dugar Zila,772118,Indore,Madhya Pradesh
"H.No. 906 Balay Nagar, Near Park, Hyderabad, Telangana - 287427","H.No. 906 Balay Nagar, Near Park, Hyderabad, Telangana - 287427",0,,H.No. 906,Balay Nagar,500027,Hyderabad,Telangana
"H.No. 148, Sachar Path, Opposite Mall, Surat, Gujarat - 557950","H.No. 148, Sachar Path, Opposite Mall, Surat, Gujarat - 557950",0,,H.No. 148,,395005,Surat,Gujarat
